Раздел;Позиция;Минимум;Реалистично;Верхняя оценка;Пояснение
Материалы и производство;Зеркала и стекло;120000;170000;220000;"Переднее полупрозрачное зеркало, заднее зеркало, боковые зеркальные стенки, обработка кромок, риск боя на большом формате."
Материалы и производство;Силовой короб и рама;60000;90000;120000;"Жесткий корпус глубиной 235 мм под размер 2125 x 1850 мм, посадочные места под зеркала, крепеж, сервисный доступ."
Материалы и производство;МДФ-заготовки и раскрой;35000;52000;70000;"Карты, фишки, жетоны, масти и ромбы режутся отдельно, с подготовкой к покраске и креплению внутри короба."
Материалы и производство;LED и электрика;35000;55000;75000;"Лента, блок питания, контроллер, провода, пайка, каналы обслуживания, тест на нагрев и стабильность."
Материалы и производство;"Краски, лак, крепеж, расходники";25000;40000;55000;"Грунт, металлики, лак, клеи, дистанционные элементы, крепеж, расходные материалы под ручную отделку."
Материалы и производство;"Упаковка, защита, логистика";30000;60000;90000;"Изделие крупное, зеркальное и хрупкое; требуется защита поверхностей, вынос, перевозка и резерв на повреждения."
Работы;Проектирование и подготовка КД;50000;85000;120000;"Перевод картинки в размеры, слои, чертежи, DXF/SVG-контуры, ведомости, согласование с производством."
Работы;Ручная роспись МДФ-объектов;120000;185000;250000;"Карты, фишки и декоративные элементы имеют не типовую окраску, а художественную отделку под казино и золото."
Работы;Сборка и юстировка зеркального эффекта;80000;120000;160000;"Нужно собрать слои без перекосов, выставить отражения, убрать паразитные зазоры и сохранить доступ к сервису."
Работы;Электромонтаж и тесты;25000;42000;60000;"Подключение, пайка, проверка питания, тест на нагрев, проверка сценария света до передачи клиенту."
Работы;Финальная проверка и переделки;40000;70000;100000;"Контроль внешнего вида, чистка зеркал изнутри, исправление мелких дефектов, гарантийный запас времени."